epoch,train_loss
1,0.694348
2,0.694550
3,0.694058
4,0.693639
5,0.693080
6,0.692552
7,0.691841
8,0.691095
9,0.689846
10,0.688165
11,0.685796
12,0.681240
13,0.673227
14,0.657022
15,0.632265
16,0.600592
17,0.572553
18,0.554068
19,0.542933
20,0.533943
21,0.527571
22,0.517990
23,0.509641
24,0.506600
25,0.501615
26,0.495562
27,0.489995
28,0.485928
29,0.480275
30,0.473750
31,0.464744
32,0.459058
33,0.448996
34,0.442195
35,0.436908
36,0.434393
37,0.427448
38,0.422294
39,0.417604
40,0.410159
41,0.403723
42,0.398383
43,0.393402
44,0.387085
45,0.382022
46,0.376763
47,0.371225
48,0.365939
49,0.359577
50,0.356135
51,0.347344
52,0.343409
53,0.340683
54,0.334044
55,0.330068
56,0.328088
57,0.322709
58,0.315463
59,0.312933
60,0.310200
61,0.303758
62,0.301703
63,0.295550
64,0.294457
65,0.290373
66,0.286507
67,0.284671
68,0.281840
69,0.276951
70,0.275522
71,0.271156
72,0.269191
73,0.264638
74,0.264965
75,0.261381
76,0.259972
77,0.256682
78,0.254642
79,0.250899
80,0.251224
81,0.247751
82,0.247729
83,0.243211
84,0.240711
85,0.240325
86,0.238707
87,0.235735
88,0.236199
89,0.233551
90,0.231166
91,0.229465
92,0.227342
93,0.227405
94,0.225842
95,0.223160
96,0.222926
97,0.219845
98,0.219194
99,0.219191
100,0.219097
101,0.215499
102,0.215245
103,0.214366
104,0.214887
105,0.211113
106,0.210653
107,0.210802
108,0.208658
109,0.206811
110,0.206668
111,0.207303
112,0.204246
113,0.204477
114,0.203766
115,0.203543
116,0.202721
117,0.201158
118,0.200300
119,0.197192
120,0.198452
121,0.194972
122,0.197718
123,0.195199
124,0.195070
125,0.191493
126,0.191329
127,0.191999
128,0.192423
129,0.191999
130,0.190109
131,0.189631
132,0.189264
133,0.188188
134,0.186542
135,0.188647
136,0.187415
137,0.188558
138,0.184822
139,0.184970
140,0.186177
141,0.184361
142,0.184123
143,0.181615
144,0.183847
145,0.182183
146,0.181056
147,0.183773
148,0.183021
149,0.180343
150,0.178939
151,0.180192
152,0.178459
153,0.179382
154,0.178608
155,0.178077
156,0.177679
157,0.177694
158,0.175750
159,0.178246
160,0.176382
161,0.176616
162,0.176395
163,0.174487
164,0.177832
165,0.175934
166,0.176325
167,0.173767
168,0.174453
169,0.175050
170,0.173443
171,0.174655
172,0.173594
173,0.171456
174,0.175092
175,0.171990
176,0.174708
177,0.172316
178,0.171139
179,0.171144
180,0.170838
181,0.172877
182,0.170914
183,0.171552
184,0.171010
185,0.169729
186,0.170515
187,0.171085
188,0.170004
189,0.170858
190,0.168973
191,0.171426
192,0.169079
193,0.169490
194,0.167595
195,0.168903
196,0.165402
197,0.168099
198,0.167980
199,0.165766
200,0.168147
201,0.168653
202,0.168451
203,0.166794
204,0.167477
205,0.166643
206,0.164483
207,0.164402
208,0.168502
209,0.163540
210,0.166878
211,0.166921
212,0.166779
213,0.165280
214,0.165810
215,0.164631
216,0.167402
217,0.165360
218,0.164849
219,0.166188
220,0.167474
221,0.164698
222,0.164562
223,0.164796
224,0.165590
225,0.164252
226,0.162749
227,0.164771
228,0.160872
229,0.166928
230,0.165489
231,0.164784
232,0.165383
233,0.163869
234,0.163491
235,0.163969
236,0.165308
237,0.163603
238,0.162652
239,0.162803
240,0.162686
241,0.162867
242,0.162193
243,0.162429
244,0.161885
245,0.161109
246,0.162489
247,0.162182
248,0.162401
249,0.163936
250,0.161775
251,0.160741
252,0.163294
253,0.162393
254,0.163325
255,0.161326
256,0.160261
257,0.162486
258,0.158849
259,0.161727
260,0.162241
261,0.161090
262,0.160427
263,0.160089
264,0.162368
265,0.160964
266,0.161059
267,0.161053
268,0.161264
269,0.158773
270,0.161216
271,0.161519
272,0.161561
273,0.160993
274,0.161217
275,0.162362
276,0.160572
277,0.159709
278,0.160941
279,0.161147
280,0.159102
281,0.158787
282,0.160686
283,0.161613
284,0.159533
285,0.160312
286,0.160854
287,0.161261
288,0.158444
289,0.159370
290,0.158969
291,0.158305
292,0.159348
293,0.161079
294,0.158682
295,0.159858
296,0.161600
297,0.159145
298,0.161512
299,0.158607
300,0.160934
301,0.158479
302,0.159420
303,0.159193
304,0.159922
305,0.158048
306,0.158733
307,0.158004
308,0.159554
309,0.156893
310,0.158214
311,0.159100
312,0.159340
313,0.159443
314,0.158859
315,0.159902
316,0.158443
317,0.159136
318,0.159622
319,0.158754
320,0.158301
321,0.159096
322,0.157925
323,0.159595
324,0.157910
325,0.158023
326,0.159937
327,0.157395
328,0.158288
329,0.159302
330,0.158994
331,0.157769
332,0.158667
333,0.158483
334,0.157523
335,0.158284
336,0.159332
337,0.156395
338,0.157470
339,0.158184
340,0.157957
341,0.157655
342,0.158480
343,0.157717
344,0.157001
345,0.158811
346,0.159237
347,0.156874
348,0.157867
349,0.156617
350,0.158414
351,0.159330
352,0.156943
353,0.158616
354,0.158982
355,0.159228
356,0.159881
357,0.155509
358,0.157804
359,0.157656
360,0.157649
361,0.155791
362,0.156740
363,0.157095
364,0.158360
365,0.158153
366,0.158747
367,0.157684
368,0.157804
369,0.157434
370,0.157833
371,0.158666
372,0.157995
373,0.157047
374,0.158949
375,0.156944
376,0.157738
377,0.157285
378,0.158585
379,0.157319
380,0.157249
381,0.157396
382,0.157567
383,0.157837
384,0.155544
385,0.155194
386,0.158633
387,0.157290
388,0.158540
389,0.154895
390,0.156756
391,0.156737
392,0.157031
393,0.157824
394,0.157630
395,0.156997
396,0.160102
397,0.157885
398,0.158947
399,0.157067
400,0.160452
